1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
X	chrX
Y	chrY
QNVO02000334.1	chr3_NW_021160144v1_random
ML143124.1	chrUn_NW_021161850v1
ML143121.1	chrUn_NW_021160606v1
ML143119.1	chr19_NW_021160376v1_random
ML143120.1	chrUn_NW_021160495v1
ML143117.1	chr4_NW_021160161v1_random
ML143122.1	chrUn_NW_021160827v1
ML143118.1	chr8_NW_021160209v1_random
ML143123.1	chrUn_NW_021161596v1
QNVO02002389.1	chrUn_NW_021162243v1
QNVO02002387.1	chrUn_NW_021162241v1
QNVO02002381.1	chrUn_NW_021162235v1
QNVO02002383.1	chrUn_NW_021162237v1
QNVO02002343.1	chrUn_NW_021162197v1
QNVO02002376.1	chrUn_NW_021162230v1
QNVO02002378.1	chrUn_NW_021162232v1
QNVO02002377.1	chrUn_NW_021162231v1
QNVO02002382.1	chrUn_NW_021162236v1
QNVO02002380.1	chrUn_NW_021162234v1
QNVO02002373.1	chrUn_NW_021162227v1
QNVO02002375.1	chrUn_NW_021162229v1
QNVO02002370.1	chrUn_NW_021162224v1
QNVO02002371.1	chrUn_NW_021162225v1
QNVO02002361.1	chrUn_NW_021162215v1
QNVO02002374.1	chrUn_NW_021162228v1
QNVO02002363.1	chrUn_NW_021162217v1
QNVO02002362.1	chrUn_NW_021162216v1
QNVO02002367.1	chrUn_NW_021162221v1
QNVO02002360.1	chrUn_NW_021162214v1
QNVO02002365.1	chrUn_NW_021162219v1
QNVO02002366.1	chrUn_NW_021162220v1
QNVO02002354.1	chrUn_NW_021162208v1
QNVO02002364.1	chrUn_NW_021162218v1
QNVO02002356.1	chrUn_NW_021162210v1
QNVO02002359.1	chrUn_NW_021162213v1
QNVO02002355.1	chrUn_NW_021162209v1
QNVO02002352.1	chrUn_NW_021162206v1
QNVO02002351.1	chrUn_NW_021162205v1
QNVO02002353.1	chrUn_NW_021162207v1
QNVO02002357.1	chrUn_NW_021162211v1
QNVO02002350.1	chrUn_NW_021162204v1
QNVO02002346.1	chrUn_NW_021162200v1
QNVO02002340.1	chrUn_NW_021162194v1
QNVO02002342.1	chrUn_NW_021162196v1
QNVO02002345.1	chrUn_NW_021162199v1
QNVO02002349.1	chrUn_NW_021162203v1
QNVO02002339.1	chrUn_NW_021162193v1
QNVO02002338.1	chrUn_NW_021162192v1
QNVO02002335.1	chrUn_NW_021162189v1
QNVO02002336.1	chrUn_NW_021162190v1
QNVO02002332.1	chrUn_NW_021162186v1
QNVO02002322.1	chrUn_NW_021162176v1
QNVO02002330.1	chrUn_NW_021162184v1
QNVO02002334.1	chrUn_NW_021162188v1
QNVO02002328.1	chrUn_NW_021162182v1
QNVO02002348.1	chrUn_NW_021162202v1
QNVO02002327.1	chrUn_NW_021162181v1
QNVO02002325.1	chrUn_NW_021162179v1
QNVO02002329.1	chrUn_NW_021162183v1
QNVO02000384.1	chr5_NW_021160175v1_random
QNVO02002320.1	chrUn_NW_021162174v1
QNVO02000255.1	chr19_NW_021160375v1_random
QNVO02002323.1	chrUn_NW_021162177v1
QNVO02000195.1	chr17_NW_021160332v1_random
QNVO02002316.1	chrUn_NW_021162170v1
QNVO02002319.1	chrUn_NW_021162173v1
QNVO02002314.1	chrUn_NW_021162168v1
QNVO02002313.1	chrUn_NW_021162167v1
QNVO02002312.1	chrUn_NW_021162166v1
QNVO02002229.1	chrUn_NW_021162083v1
QNVO02002310.1	chrUn_NW_021162164v1
QNVO02002341.1	chrUn_NW_021162195v1
QNVO02002315.1	chrUn_NW_021162169v1
QNVO02002306.1	chrUn_NW_021162160v1
QNVO02000210.1	chr17_NW_021160347v1_random
QNVO02002311.1	chrUn_NW_021162165v1
QNVO02002309.1	chrUn_NW_021162163v1
QNVO02002386.1	chrUn_NW_021162240v1
QNVO02002305.1	chrUn_NW_021162159v1
QNVO02002300.1	chrUn_NW_021162154v1
QNVO02002304.1	chrUn_NW_021162158v1
QNVO02002324.1	chrUn_NW_021162178v1
QNVO02002299.1	chrUn_NW_021162153v1
QNVO02002302.1	chrUn_NW_021162156v1
QNVO02002298.1	chrUn_NW_021162152v1
QNVO02002301.1	chrUn_NW_021162155v1
QNVO02001274.1	chrUn_NW_021161133v1
QNVO02002296.1	chrUn_NW_021162150v1
QNVO02002292.1	chrUn_NW_021162146v1
QNVO02002291.1	chrUn_NW_021162145v1
QNVO02002285.1	chrUn_NW_021162139v1
QNVO02002288.1	chrUn_NW_021162142v1
QNVO02002289.1	chrUn_NW_021162143v1
QNVO02002295.1	chrUn_NW_021162149v1
QNVO02002293.1	chrUn_NW_021162147v1
QNVO02002287.1	chrUn_NW_021162141v1
QNVO02002283.1	chrUn_NW_021162137v1
QNVO02002284.1	chrUn_NW_021162138v1
QNVO02002282.1	chrUn_NW_021162136v1
QNVO02001830.1	chrUn_NW_021161686v1
QNVO02000252.1	chr19_NW_021160372v1_random
QNVO02002281.1	chrUn_NW_021162135v1
QNVO02000331.1	chr3_NW_021160141v1_random
QNVO02000459.1	chr8_NW_021160211v1_random
QNVO02000276.1	chr1_NW_021160111v1_random
QNVO02002275.1	chrUn_NW_021162129v1
QNVO02002255.1	chrUn_NW_021162109v1
QNVO02002294.1	chrUn_NW_021162148v1
QNVO02002276.1	chrUn_NW_021162130v1
QNVO02002274.1	chrUn_NW_021162128v1
QNVO02000330.1	chr3_NW_021160140v1_random
QNVO02002279.1	chrUn_NW_021162133v1
QNVO02002242.1	chrUn_NW_021162096v1
QNVO02002271.1	chrUn_NW_021162125v1
QNVO02002270.1	chrUn_NW_021162124v1
QNVO02002269.1	chrUn_NW_021162123v1
QNVO02002203.1	chrUn_NW_021162057v1
QNVO02002263.1	chrUn_NW_021162117v1
QNVO02002266.1	chrUn_NW_021162120v1
QNVO02002246.1	chrUn_NW_021162100v1
QNVO02002265.1	chrUn_NW_021162119v1
QNVO02000254.1	chr19_NW_021160374v1_random
QNVO02002261.1	chrUn_NW_021162115v1
QNVO02000102.1	chr13_NW_021160282v1_random
QNVO02002262.1	chrUn_NW_021162116v1
QNVO02002257.1	chrUn_NW_021162111v1
QNVO02002260.1	chrUn_NW_021162114v1
QNVO02002273.1	chrUn_NW_021162127v1
QNVO02002244.1	chrUn_NW_021162098v1
QNVO02002252.1	chrUn_NW_021162106v1
QNVO02002253.1	chrUn_NW_021162107v1
QNVO02002272.1	chrUn_NW_021162126v1
QNVO02002251.1	chrUn_NW_021162105v1
QNVO02002280.1	chrUn_NW_021162134v1
QNVO02002256.1	chrUn_NW_021162110v1
QNVO02002250.1	chrUn_NW_021162104v1
QNVO02002175.1	chrUn_NW_021162029v1
QNVO02002249.1	chrUn_NW_021162103v1
QNVO02000275.1	chr1_NW_021160110v1_random
QNVO02002278.1	chrUn_NW_021162132v1
QNVO02002247.1	chrUn_NW_021162101v1
QNVO02000278.1	chr1_NW_021160113v1_random
QNVO02002240.1	chrUn_NW_021162094v1
QNVO02000051.1	chr10_NW_021160253v1_random
QNVO02002241.1	chrUn_NW_021162095v1
QNVO02002238.1	chrUn_NW_021162092v1
QNVO02002237.1	chrUn_NW_021162091v1
QNVO02002235.1	chrUn_NW_021162089v1
QNVO02002259.1	chrUn_NW_021162113v1
QNVO02002290.1	chrUn_NW_021162144v1
QNVO02002234.1	chrUn_NW_021162088v1
QNVO02002232.1	chrUn_NW_021162086v1
QNVO02002245.1	chrUn_NW_021162099v1
QNVO02002233.1	chrUn_NW_021162087v1
QNVO02002236.1	chrUn_NW_021162090v1
QNVO02002264.1	chrUn_NW_021162118v1
QNVO02002231.1	chrUn_NW_021162085v1
QNVO02002224.1	chrUn_NW_021162078v1
QNVO02002177.1	chrUn_NW_021162031v1
QNVO02002222.1	chrUn_NW_021162076v1
QNVO02002223.1	chrUn_NW_021162077v1
QNVO02002392.1	chrUn_NW_021162246v1
QNVO02002318.1	chrUn_NW_021162172v1
QNVO02002227.1	chrUn_NW_021162081v1
QNVO02002220.1	chrUn_NW_021162074v1
QNVO02000516.1	chr9_NW_021160238v1_random
QNVO02000383.1	chr5_NW_021160174v1_random
QNVO02002218.1	chrUn_NW_021162072v1
QNVO02002230.1	chrUn_NW_021162084v1
QNVO02001911.1	chrUn_NW_021161767v1
QNVO02002420.1	chrUn_NW_021162274v1
QNVO02000405.1	chr6_NW_021160189v1_random
QNVO02002243.1	chrUn_NW_021162097v1
QNVO02002212.1	chrUn_NW_021162066v1
QNVO02002226.1	chrUn_NW_021162080v1
QNVO02002216.1	chrUn_NW_021162070v1
QNVO02002211.1	chrUn_NW_021162065v1
QNVO02002213.1	chrUn_NW_021162067v1
QNVO02002201.1	chrUn_NW_021162055v1
QNVO02000440.1	chr7_NW_021160207v1_random
QNVO02002209.1	chrUn_NW_021162063v1
QNVO02002197.1	chrUn_NW_021162051v1
QNVO02002028.1	chrUn_NW_021161882v1
QNVO02002205.1	chrUn_NW_021162059v1
QNVO02001461.1	chrUn_NW_021161320v1
QNVO02002204.1	chrUn_NW_021162058v1
QNVO02002206.1	chrUn_NW_021162060v1
QNVO02002207.1	chrUn_NW_021162061v1
QNVO02002214.1	chrUn_NW_021162068v1
QNVO02002195.1	chrUn_NW_021162049v1
QNVO02002196.1	chrUn_NW_021162050v1
QNVO02002192.1	chrUn_NW_021162046v1
QNVO02002193.1	chrUn_NW_021162047v1
QNVO02002221.1	chrUn_NW_021162075v1
QNVO02002173.1	chrUn_NW_021162027v1
QNVO02002190.1	chrUn_NW_021162044v1
QNVO02002198.1	chrUn_NW_021162052v1
QNVO02002200.1	chrUn_NW_021162054v1
QNVO02000329.1	chr3_NW_021160139v1_random
QNVO02000153.1	chr15_NW_021160313v1_random
QNVO02002179.1	chrUn_NW_021162033v1
QNVO02002202.1	chrUn_NW_021162056v1
QNVO02002215.1	chrUn_NW_021162069v1
QNVO02002225.1	chrUn_NW_021162079v1
QNVO02002188.1	chrUn_NW_021162042v1
QNVO02002407.1	chrUn_NW_021162261v1
QNVO02002181.1	chrUn_NW_021162035v1
QNVO02002184.1	chrUn_NW_021162038v1
QNVO02002185.1	chrUn_NW_021162039v1
QNVO02000304.1	chr2_NW_021160122v1_random
QNVO02002217.1	chrUn_NW_021162071v1
QNVO02002082.1	chrUn_NW_021161936v1
QNVO02002183.1	chrUn_NW_021162037v1
QNVO02002174.1	chrUn_NW_021162028v1
QNVO02000251.1	chr19_NW_021160371v1_random
QNVO02000362.1	chr4_NW_021160160v1_random
QNVO02002169.1	chrUn_NW_021162023v1
QNVO02000101.1	chr13_NW_021160281v1_random
QNVO02002176.1	chrUn_NW_021162030v1
QNVO02002170.1	chrUn_NW_021162024v1
